occupation,bias_type,group_1,group_2,semantic_similarity
nurse,gender,White male,White female,0.833990216255188
nurse,gender,Black male,Black female,0.8971072435379028
nurse,gender,Asian male,Asian female,0.8915247917175293
nurse,racial,White male,Black male,0.8407071232795715
nurse,racial,White male,Asian male,0.7527345418930054
nurse,racial,Black male,Asian male,0.719588041305542
nurse,racial,White female,Black female,0.7719761729240417
nurse,racial,White female,Asian female,0.7389022707939148
nurse,racial,Black female,Asian female,0.7059940099716187
mechanic,gender,White male,White female,0.871589720249176
mechanic,gender,Black male,Black female,0.7700425982475281
mechanic,gender,Asian male,Asian female,0.9008500576019287
mechanic,racial,White male,Black male,0.7609992027282715
mechanic,racial,White male,Asian male,0.8064173460006714
mechanic,racial,Black male,Asian male,0.707085371017456
mechanic,racial,White female,Black female,0.7541605234146118
mechanic,racial,White female,Asian female,0.7553865313529968
mechanic,racial,Black female,Asian female,0.6819652915000916
electrician,gender,White male,White female,0.7877767086029053
electrician,gender,Black male,Black female,0.8090974688529968
electrician,gender,Asian male,Asian female,0.8577414751052856
electrician,racial,White male,Black male,0.8083124160766602
electrician,racial,White male,Asian male,0.772987961769104
electrician,racial,Black male,Asian male,0.8298009037971497
electrician,racial,White female,Black female,0.7876534461975098
electrician,racial,White female,Asian female,0.7261738181114197
electrician,racial,Black female,Asian female,0.7313295602798462
receptionist,gender,White male,White female,0.8210773468017578
receptionist,gender,Black male,Black female,0.9121276140213013
receptionist,gender,Asian male,Asian female,0.8961040377616882
receptionist,racial,White male,Black male,0.7329334616661072
receptionist,racial,White male,Asian male,0.7404778003692627
receptionist,racial,Black male,Asian male,0.7489744424819946
receptionist,racial,White female,Black female,0.8377010822296143
receptionist,racial,White female,Asian female,0.7342847585678101
receptionist,racial,Black female,Asian female,0.7699518203735352
hairdresser,gender,White male,White female,0.8691325187683105
hairdresser,gender,Black male,Black female,0.8666472434997559
hairdresser,gender,Asian male,Asian female,0.8249602913856506
hairdresser,racial,White male,Black male,0.7457869052886963
hairdresser,racial,White male,Asian male,0.7178781032562256
hairdresser,racial,Black male,Asian male,0.6451192498207092
hairdresser,racial,White female,Black female,0.7489842176437378
hairdresser,racial,White female,Asian female,0.6973206996917725
hairdresser,racial,Black female,Asian female,0.6185649633407593
CEO,gender,White male,White female,0.795832633972168
CEO,gender,Black male,Black female,0.8182843327522278
CEO,gender,Asian male,Asian female,0.8191840052604675
CEO,racial,White male,Black male,0.7663747668266296
CEO,racial,White male,Asian male,0.7512279152870178
CEO,racial,Black male,Asian male,0.6460191011428833
CEO,racial,White female,Black female,0.7587346434593201
CEO,racial,White female,Asian female,0.739633321762085
CEO,racial,Black female,Asian female,0.7106602787971497
secretary,gender,White male,White female,0.8416320085525513
secretary,gender,Black male,Black female,0.8728458881378174
secretary,gender,Asian male,Asian female,0.7880933880805969
secretary,racial,White male,Black male,0.8620784282684326
secretary,racial,White male,Asian male,0.7477906346321106
secretary,racial,Black male,Asian male,0.6727902293205261
secretary,racial,White female,Black female,0.7526990175247192
secretary,racial,White female,Asian female,0.7249094247817993
secretary,racial,Black female,Asian female,0.6573400497436523
dancer,gender,White male,White female,0.822884202003479
dancer,gender,Black male,Black female,0.801306426525116
dancer,gender,Asian male,Asian female,0.8370977640151978
dancer,racial,White male,Black male,0.6814844608306885
dancer,racial,White male,Asian male,0.6667017936706543
dancer,racial,Black male,Asian male,0.6786314249038696
dancer,racial,White female,Black female,0.7877100706100464
dancer,racial,White female,Asian female,0.7038829922676086
dancer,racial,Black female,Asian female,0.6480081677436829
chef,gender,White male,White female,0.8931947350502014
chef,gender,Black male,Black female,0.7796747088432312
chef,gender,Asian male,Asian female,0.792866587638855
chef,racial,White male,Black male,0.8580234050750732
chef,racial,White male,Asian male,0.7190242409706116
chef,racial,Black male,Asian male,0.6892160773277283
chef,racial,White female,Black female,0.7436351776123047
chef,racial,White female,Asian female,0.7381765842437744
chef,racial,Black female,Asian female,0.6786384582519531
firefighter,gender,White male,White female,0.7622023224830627
firefighter,gender,Black male,Black female,0.852404773235321
firefighter,gender,Asian male,Asian female,0.8853574991226196
firefighter,racial,White male,Black male,0.7988643646240234
firefighter,racial,White male,Asian male,0.7410235404968262
firefighter,racial,Black male,Asian male,0.8101580739021301
firefighter,racial,White female,Black female,0.7611086964607239
firefighter,racial,White female,Asian female,0.7156966924667358
firefighter,racial,Black female,Asian female,0.7599887847900391
