occupation,gender_similarity,racial_similarity
CEO,0.8111003239949545,0.7287750045458475
chef,0.8219120105107626,0.7377856572469076
dancer,0.8204294641812643,0.6944031516710917
electrician,0.8182052175203959,0.7760430177052816
firefighter,0.8333215316136678,0.7644733587900797
hairdresser,0.8535800178845724,0.6956090231736501
mechanic,0.8474941253662109,0.7443357110023499
nurse,0.8742074171702067,0.7549836933612823
receptionist,0.8764363328615824,0.760720560948054
secretary,0.8341904282569885,0.7362679640452067
