occupation,gender_similarity,racial_similarity
CEO,0.6086012919743856,0.6365822156270345
chef,0.5701810916264852,0.582037885983785
dancer,0.6856735348701477,0.6383743286132812
electrician,0.6660983562469482,0.7144326070944468
firefighter,0.7048125863075256,0.6770811279614767
hairdresser,0.7887664437294006,0.7400098145008087
mechanic,0.5413947204748789,0.5747208247582117
nurse,0.6799673239390055,0.7237196067969004
receptionist,0.7737992803255717,0.695309042930603
secretary,0.5881838500499725,0.5945868492126465
